id,name,image_url,price
77a97b75-43d3-4c89-a363-54607f7a3bb4,Sweet Potato and Chickpea Bowl,http://dummyimage.com/159x100.png/dddddd/000000,6.49
fb0045e8-8b51-4350-a05a-a433dd4a46e3,Beef Stew Meat,http://dummyimage.com/222x100.png/5fa2dd/ffffff,5.99
ccf804fd-a00e-4304-b953-85e925bd740d,Portable Bluetooth Speaker,http://dummyimage.com/178x100.png/dddddd/000000,49.99
ea2b73fa-3c7c-4b29-ba40-f5d12525c6d3,LED Christmas Lights,http://dummyimage.com/109x100.png/ff4444/ffffff,29.99
2c0f7740-b25e-4762-830d-b971c4a78e06,Wine Glasses,http://dummyimage.com/184x100.png/5fa2dd/ffffff,29.99
c05ef061-2d39-4f67-baca-e875a1cfdace,Portable Electric Fan,http://dummyimage.com/214x100.png/5fa2dd/ffffff,24.99
da780397-c1dc-415f-bfe8-1a5f9dab23bd,Two-Tone Windbreaker,http://dummyimage.com/246x100.png/5fa2dd/ffffff,59.99
c20b07b2-cac3-4ffc-a7bb-fc258224cc5b,Beef Stroganoff Meal Kit,http://dummyimage.com/142x100.png/5fa2dd/ffffff,12.99
183d3326-fab0-456a-8c42-f791960a155d,Indoor Plants,http://dummyimage.com/122x100.png/cc0000/ffffff,19.99
2b48c10a-4b32-4cce-afb9-721463a3f90f,Crew Neck Sweater,http://dummyimage.com/147x100.png/dddddd/000000,39.99
96f58bc1-b5b4-43df-addc-d92932b70cbe,Coconut Almond Granola,http://dummyimage.com/244x100.png/ff4444/ffffff,4.99
17de821b-6ad2-472c-852d-e2e222574e95,Sweet Potato Noodles,http://dummyimage.com/199x100.png/dddddd/000000,3.79
5c0fbfeb-108b-4553-bca2-fecbc1baf883,Sweet Potato and Chickpea Bowl,http://dummyimage.com/150x100.png/cc0000/ffffff,6.49
908920fd-35a3-4f2d-a05b-7eeae5288b7d,Potting Soil,http://dummyimage.com/165x100.png/dddddd/000000,15.99
67170161-011b-44a7-87ae-a731e994a76e,Spinach Artichoke Dip,http://dummyimage.com/139x100.png/5fa2dd/ffffff,4.99
0d7ac57e-dc5a-454d-85a4-4bdaddf95968,Basil Lemonade,http://dummyimage.com/152x100.png/cc0000/ffffff,2.99
5102ecf8-56a6-4baa-b4c7-507520048a44,Pet Safety Harness,http://dummyimage.com/195x100.png/ff4444/ffffff,24.99
2103cee0-2fd3-4e21-8d83-a7065a2856f8,Buttermilk Pancakes,http://dummyimage.com/119x100.png/dddddd/000000,3.99
35a016f7-9d5a-45b7-afdd-efb0374cceb0,Organic Green Tea,http://dummyimage.com/222x100.png/cc0000/ffffff,4.29
448f8a7d-ec12-44fd-8230-626f0ad76a6c,Whole Grain Hamburger Buns,http://dummyimage.com/193x100.png/ff4444/ffffff,2.69
7f4b6dc4-d5ef-4db3-a5d7-025ff0e602f9,Non-Stick Crepe Pan,http://dummyimage.com/247x100.png/dddddd/000000,29.99
